id,dish_name,n_servings,time_s,flavors,cuisine,ingredients,energy_kcal,fat_g,protein_g,carbs_g,vitamin_e_g,vitamin_c_g,vitamin_b12_g,vitamin_d_iu,vitamin_k_g,vitamin_a_iu,vitamin_9_g,vitamin_b6_g,fatty_acids_g,cholesterol_g,sodium_g,fiber_g,sugar_g,calcium_g,iron_g,magnesium_g,zinc_g,potassium_g
00001,Mushroom Risotto,6,1800,{},Italian,"[""baby bella mushrooms"", ""arborio rice"", ""olive oil"", ""butter"", ""shallots"", ""white wine"", ""fat free chicken stock"", ""salt"", ""pepper"", ""grated Parmesan cheese"", ""chopped parsley""]",1997.02,8.54,75.34,19.14,0.0,0.01,0.0,5.06,0.0,781.08,0.0,,2.46,0.02,0.71,2.85,7.54,0.12,0.0,0.05,0.0,0.68
00002,Filipino BBQ Pork Skewers,4,2400,"{""Piquant"": 0.5, ""Sour"": 0.5, ""Salty"": 0.8333, ""Sweet"": 0.3333, ""Bitter"": 0.8333, ""Meaty"": 0.8333}",Barbecue,"[""pork country-style ribs"", ""7-up"", ""soy sauce"", ""white vinegar"", ""lemon"", ""brown sugar"", ""garlic"", ""black pepper"", ""crushed red pepper flakes""]",2722.28,34.93,26.21,56.97,0.0,0.03,0.0,82.21,0.0,2113.28,0.0,0.0,5.83,0.21,1.98,3.25,16.65,0.12,0.0,0.09,0.01,1.15
00002,Filipino BBQ Pork Skewers,4,2400,"{""Piquant"": 0.5, ""Sour"": 0.5, ""Salty"": 0.8333, ""Sweet"": 0.3333, ""Bitter"": 0.8333, ""Meaty"": 0.8333}",Barbecue,"[""pork country-style ribs"", ""7-up"", ""soy sauce"", ""white vinegar"", ""lemon"", ""brown sugar"", ""garlic"", ""black pepper"", ""crushed red pepper flakes""]",2722.28,34.93,26.21,56.97,0.0,0.03,0.0,82.21,0.0,2113.28,0.0,0.0,5.83,0.21,1.98,3.25,16.65,0.12,0.0,0.09,0.01,1.15
00047,Mexican Slaw,8,900,"{""Piquant"": 0.8333, ""Sour"": 0.8333, ""Salty"": 0.3333, ""Sweet"": 0.3333, ""Bitter"": 0.1667, ""Meaty"": 0.1667}",Mexican,"[""olive oil"", ""orange juice"", ""lime juice"", ""garlic clove"", ""ground cumin"", ""salt"", ""pepper"", ""shredded cabbage"", ""jicama"", ""carrot"", ""jalape\u00f1o pepper"", ""chopped fresh cilantro""]",456.03,9.06,6.82,0.83,0.0,0.03,,,0.0,1734.47,0.0,0.0,1.26,,0.16,2.46,2.82,0.03,0.0,0.01,0.0,0.18
00051,Mussels Provencal,6,2100,"{""Sweet"": 0.6667, ""Sour"": 0.8333, ""Salty"": 0.3333, ""Piquant"": 0.0, ""Bitter"": 0.3333, ""Meaty"": 0.3333}",French,"[""pasta"", ""olive oil"", ""onion"", ""garlic"", ""diced tomatoes"", ""tomato paste"", ""fresh mushrooms"", ""dried basil"", ""dried oregano"", ""dried tarragon"", ""mussels"", ""olives"", ""fresh tomatoes""]",1380.98,5.85,53.18,16.67,0.0,0.02,0.0,1.05,0.0,1160.46,0.0,0.0,0.43,0.02,0.29,3.93,6.36,0.06,0.0,0.07,0.0,0.7
00072,Miso-Glazed Sea Bass,6,,"{""Sweet"": 0.6667, ""Sour"": 0.1667, ""Salty"": 1.0, ""Piquant"": 0.0, ""Bitter"": 0.8333, ""Meaty"": 1.0}",Japanese,"[""white miso"", ""mirin"", ""sake"", ""sugar"", ""fresh ginger"", ""sea bass fillets"", ""grated lemon zest""]",347.75,1.38,13.39,2.92,,0.0,,,0.0,20.1,0.0,,0.23,,0.86,1.19,7.64,0.01,0.0,0.01,0.0,0.05
00083,Pumpkin Curry,4,2700,"{""Piquant"": 0.1667, ""Sour"": 0.6667, ""Salty"": 0.1667, ""Sweet"": 0.1667, ""Bitter"": 0.3333, ""Meaty"": 0.1667}",Indian,"[""oil"", ""mustard seeds"", ""cumin seed"", ""bay leaves"", ""chopped onion"", ""ginger"", ""garlic"", ""ground coriander"", ""turmeric"", ""chili powder"", ""diced tomatoes"", ""pumpkin"", ""kale"", ""coconut milk"", ""chickpeas"", ""salt"", ""toasted cashews"", ""cilantro"", ""lime slices"", ""rice""]",362.95,1.88,16.91,3.05,0.0,0.01,,,0.0,9457.34,0.0,0.0,0.19,,0.21,3.31,3.66,0.05,0.0,0.03,0.0,0.56
00102,Chinese Roast Pork,8,4500,"{""Piquant"": 0.6667, ""Sour"": 0.1667, ""Salty"": 0.8333, ""Sweet"": 0.3333, ""Bitter"": 0.6667, ""Meaty"": 0.1667}",Chinese,"[""pork shoulder roast"", ""Chinese five spice powder"", ""ground black pepper"", ""peanut"", ""onion"", ""minced ginger"", ""garlic cloves"", ""vegetable oil"", ""mirin"", ""rice wine vinegar"", ""sauce"", ""Sriracha"", ""sesame oil"", ""light soy sauce"", ""creamy peanut butter"", ""chicken stock""]",412.09,8.05,5.57,2.72,0.0,0.0,,,0.0,61.22,0.0,0.0,1.08,0.0,0.31,1.06,2.31,0.01,0.0,0.02,0.0,0.12
10004,Southwestern Dip,7,11100,{},Southwestern,"[""chicken breast"", ""salsa"", ""black beans"", ""corn"", ""creamed spinach"", ""cheese"", ""jalapenos""]",,,,,,,,,,,,,,,,,,,,,,
02069,Swedish Meatballs in Walnut and Sage Alfredo Sauce,16,4200,"{""Piquant"": 0.0, ""Sour"": 0.1667, ""Salty"": 0.8333, ""Sweet"": 0.1667, ""Bitter"": 0.3333, ""Meaty"": 0.8333}",Swedish,"[""white bread"", ""milk"", ""pure olive oil"", ""onion"", ""garlic cloves"", ""kosher salt"", ""chuck"", ""veal"", ""large egg yolks"", ""black pepper"", ""dried sage"", ""grated nutmeg"", ""whole milk"", ""unsalted butter"", ""parmigiano reggiano"", ""ground black pepper"", ""sage leaves"", ""walnuts""]",1148.23,21.52,4.72,15.45,0.0,0.0,0.0,25.67,0.0,315.97,0.0,0.0,8.96,0.09,0.4,0.48,2.24,0.14,0.0,0.03,0.0,0.26
21312,Hungarian Mushroom Soup,6,3000,"{""Sweet"": 0.6667, ""Sour"": 0.5, ""Salty"": 0.6667, ""Piquant"": 0.3333, ""Bitter"": 0.5, ""Meaty"": 0.3333}",Hungarian,"[""unsalted butter"", ""onions"", ""fresh mushrooms"", ""dried dill weed"", ""paprika"", ""soy sauce"", ""chicken broth"", ""milk"", ""all purpose flour"", ""salt"", ""ground black pepper"", ""lemon juice"", ""fresh parsley"", ""sour cream""]",808.08,12.7,14.66,7.31,0.0,0.01,,29.61,0.0,1126.33,0.0,0.0,7.18,0.03,0.43,2.48,6.55,0.11,0.0,0.03,0.0,0.55
